num_invocation,current_num_invocation,wait_time,elapsed_time,real_time,user_time,cpu_usage,memory_usage,timestamp,current_minute
1,1,50.296256485927444,140.56697726249695,135.4,134.198,0.003985709623628878,101335040.0,1109,0
1,1,50.296256485927444,140.56697726249695,135.4,134.198,0.003985709623628878,113459200.0,1109,0
1,1,50.296256485927444,140.56697726249695,135.4,134.198,0.0035440491476868233,113459200.0,1109,0
1,1,50.296256485927444,140.56697726249695,135.4,134.198,0.0035440491476868233,113459200.0,1110,0
1,1,50.296256485927444,140.56697726249695,135.4,134.198,0.0035440491476868233,113459200.0,1110,0
1,1,50.296256485927444,140.56697726249695,135.4,134.198,0.0035440491476868233,113459200.0,1110,0
1,1,50.296256485927444,140.56697726249695,135.4,134.198,0.0035440491476868233,113459200.0,1110,0
1,1,50.296256485927444,140.56697726249695,135.4,134.198,0.0035440491476868233,956329984.0,1110,0
1,1,50.296256485927444,140.56697726249695,135.4,134.198,0.9710068602877105,956329984.0,1110,0
1,1,50.296256485927444,140.56697726249695,135.4,134.198,0.9710068602877105,956329984.0,1110,0
1,1,50.296256485927444,140.56697726249695,135.4,134.198,0.9710068602877105,956329984.0,1110,0
1,1,50.296256485927444,140.56697726249695,135.4,134.198,0.9710068602877105,956329984.0,1110,0
1,1,50.296256485927444,140.56697726249695,135.4,134.198,0.9710068602877105,956329984.0,1110,0
1,1,50.296256485927444,140.56697726249695,135.4,134.198,0.9710068602877105,2676334592.0,1110,0
1,1,50.296256485927444,140.56697726249695,135.4,134.198,1.5959906841162073,2676334592.0,1110,0
1,1,50.296256485927444,140.56697726249695,135.4,134.198,1.5959906841162073,2676334592.0,1111,0
1,1,50.296256485927444,140.56697726249695,135.4,134.198,1.5959906841162073,2676334592.0,1111,0
1,1,50.296256485927444,140.56697726249695,135.4,134.198,1.5959906841162073,2676334592.0,1111,0
1,1,50.296256485927444,140.56697726249695,135.4,134.198,1.5959906841162073,2676334592.0,1111,0
1,1,50.296256485927444,140.56697726249695,135.4,134.198,1.5959906841162073,3726303232.0,1111,0
1,1,50.296256485927444,140.56697726249695,135.4,134.198,2.5847318226856073,3726303232.0,1111,0
1,1,50.296256485927444,140.56697726249695,135.4,134.198,2.5847318226856073,3726303232.0,1111,0
1,1,50.296256485927444,140.56697726249695,135.4,134.198,2.5847318226856073,3726303232.0,1111,0
1,1,50.296256485927444,140.56697726249695,135.4,134.198,2.5847318226856073,3726303232.0,1111,0
1,1,50.296256485927444,140.56697726249695,135.4,134.198,2.5847318226856073,3726303232.0,1111,0
1,1,50.296256485927444,140.56697726249695,135.4,134.198,2.5847318226856073,5665165312.0,1111,0
1,1,50.296256485927444,140.56697726249695,135.4,134.198,4.2039549323050585,5665165312.0,1111,0
1,1,50.296256485927444,140.56697726249695,135.4,134.198,4.2039549323050585,5665165312.0,1112,0
1,1,50.296256485927444,140.56697726249695,135.4,134.198,4.2039549323050585,5665165312.0,1112,0
2,2,23.298789198336546,141.61223363876343,141.03,139.762,0.0035440491476868233,956329984.0,1110,1
2,2,23.298789198336546,141.61223363876343,141.03,139.762,0.0035440491476868233,956329984.0,1110,1
2,2,23.298789198336546,141.61223363876343,141.03,139.762,0.9710068602877105,956329984.0,1110,1
2,2,23.298789198336546,141.61223363876343,141.03,139.762,0.9710068602877105,956329984.0,1110,1
2,2,23.298789198336546,141.61223363876343,141.03,139.762,0.9710068602877105,956329984.0,1110,1
2,2,23.298789198336546,141.61223363876343,141.03,139.762,0.9710068602877105,956329984.0,1110,1
2,2,23.298789198336546,141.61223363876343,141.03,139.762,0.9710068602877105,2676334592.0,1110,1
2,2,23.298789198336546,141.61223363876343,141.03,139.762,0.9710068602877105,2676334592.0,1110,1
2,2,23.298789198336546,141.61223363876343,141.03,139.762,1.5959906841162073,2676334592.0,1111,1
2,2,23.298789198336546,141.61223363876343,141.03,139.762,1.5959906841162073,2676334592.0,1111,1
2,2,23.298789198336546,141.61223363876343,141.03,139.762,1.5959906841162073,2676334592.0,1111,1
2,2,23.298789198336546,141.61223363876343,141.03,139.762,1.5959906841162073,2676334592.0,1111,1
2,2,23.298789198336546,141.61223363876343,141.03,139.762,1.5959906841162073,3726303232.0,1111,1
2,2,23.298789198336546,141.61223363876343,141.03,139.762,1.5959906841162073,3726303232.0,1111,1
2,2,23.298789198336546,141.61223363876343,141.03,139.762,2.5847318226856073,3726303232.0,1111,1
2,2,23.298789198336546,141.61223363876343,141.03,139.762,2.5847318226856073,3726303232.0,1111,1
2,2,23.298789198336546,141.61223363876343,141.03,139.762,2.5847318226856073,3726303232.0,1111,1
2,2,23.298789198336546,141.61223363876343,141.03,139.762,2.5847318226856073,3726303232.0,1111,1
2,2,23.298789198336546,141.61223363876343,141.03,139.762,2.5847318226856073,5665165312.0,1111,1
2,2,23.298789198336546,141.61223363876343,141.03,139.762,2.5847318226856073,5665165312.0,1111,1
2,2,23.298789198336546,141.61223363876343,141.03,139.762,4.2039549323050585,5665165312.0,1112,1
2,2,23.298789198336546,141.61223363876343,141.03,139.762,4.2039549323050585,5665165312.0,1112,1
2,2,23.298789198336546,141.61223363876343,141.03,139.762,4.2039549323050585,5665165312.0,1112,1
2,2,23.298789198336546,141.61223363876343,141.03,139.762,4.2039549323050585,5665165312.0,1112,1
2,2,23.298789198336546,141.61223363876343,141.03,139.762,4.2039549323050585,6575210496.0,1112,1
2,2,23.298789198336546,141.61223363876343,141.03,139.762,4.2039549323050585,6575210496.0,1112,1
2,2,23.298789198336546,141.61223363876343,141.03,139.762,5.618388459714344,6575210496.0,1112,1
